"from_stop_id","to_stop_id","transfer_type","min_transfer_time","from_route_id","to_route_id","from_trip_id","to_trip_id"
000000831132,000000831132,2,120,,,,
000008000483,000008000483,2,300,,,,
000000844956,000000844956,2,120,,,,
000000847464,000000847464,2,120,,,,
000000844955,000000844955,2,180,,,,
000000848317,000000848317,2,120,,,,
000000848315,000000848315,2,120,,,,
000000848314,000000848314,2,120,,,,
000000848313,000000848313,2,120,,,,
000000848311,000000848311,2,120,,,,
000000848318,000000848318,2,120,,,,
000000846333,000000846333,2,120,,,,
000000846286,000000846286,2,120,,,,
000000846331,000000846331,2,120,,,,
000000831015,000000831015,2,120,,,,
000008010085,000008010085,2,360,,,,
000008010080,000008010080,2,240,,,,
000000846219,000000846219,2,120,,,,
000000846336,000000846336,2,120,,,,
000000846334,000000846334,2,120,,,,
000000846335,000000846335,2,120,,,,
000008000171,000008000171,2,240,,,,
000000846332,000000846332,2,120,,,,
000000846215,000000846215,2,120,,,,
000000846213,000000846213,2,120,,,,
000008000177,000008000177,2,180,,,,
000000846210,000000846210,2,120,,,,
000000846211,000000846211,2,120,,,,
000000846216,000000846216,2,120,,,,
000000846217,000000846217,2,120,,,,
000008000058,000008000058,2,300,,,,
000008000059,000008000059,2,240,,,,
000000815480,000000815480,2,120,,,,
000000845129,000000845129,2,120,,,,
000008000056,000008000056,2,300,,,,
000000815484,000000815484,2,120,,,,
000000815482,000000815482,2,120,,,,
000000845122,000000845122,2,120,,,,
000000845123,000000845123,2,120,,,,
000000845124,000000845124,2,120,,,,
000000845125,000000845125,2,120,,,,
000008002203,000008002203,2,300,,,,
000008006116,000008006116,2,300,,,,
000008001900,000008001900,2,300,,,,
000008006078,000008006078,2,300,,,,
000000847533,000000847533,2,120,,,,
000000847531,000000847531,2,120,,,,
000008000064,000008000064,2,360,,,,
000008003986,000008003986,2,300,,,,
000000857134,000000857134,2,120,,,,
000000857133,000000857133,2,120,,,,
000000847534,000000847534,2,120,,,,
000000847535,000000847535,2,120,,,,
000000848309,000000848309,2,120,,,,
000000847771,000000847771,2,120,,,,
000000848308,000000848308,2,120,,,,
000000831120,000000831120,2,120,,,,
000000831121,000000831121,2,120,,,,
